堒搙,宱搙,懳徾嫆揰柤,抧恔儕僗僋(6嫮埲忋),塼忬壔儕僗僋,捗攇怹悈憐掕,晽嵭儕僗僋(愝寁婎弨晽懍30m/s埲忋),壨愳斆棓憐掕,崅挭怹悈憐掕,搚嵒嵭奞寈夲嬫堟,崀奃偺懲愊(晉巑嶳暚壩僔僫儕僆),1k噓偵偍偗傞棊棆夞悢,曐娗応強
35.80708129,140.357299,擔捠NEC儘僕僗僥傿僋僗乮姅乯乮惉揷擔捠憅屔乯,1,0,0,0,0,0,0,0,0,
33.60857184,130.4036967,擔捠NEC儘僕僗僥傿僋僗乮姅乯乮暉壀憅屔乯,0,1,0,0,0,1,0,0,0,
32.062775,131.47403,媑愳岺嬈傾乕儖僄僼僙儈僐儞姅幃夛幮丂媨嶈杮幮,1,1,0,0,1,0,0,0,0,
33.59037231,130.4388407,擔杮捠塣(姅乯暉壀拞墰儘僕僗僥傿僋僗僙儞僞乕,0,1,0,0,1,1,0,0,0,
32.43416433,131.6526269,S据喊_擔岦PD丄S僙擔岦_桝弌梡,1,1,1,0,0,1,0,0,0,
32.43132482,131.6384634,S据喊_擔岦戞2PD,1,1,1,0,0,1,0,0,0,
34.78536404,135.5740702,僙儞僐乕杒戝嶃俹俢僙儞僞乕,1,1,0,0,1,0,0,0,0,
32.43757429,131.6536703,僙儞僐乕噴丂擔岦峘榩塩嬈強丂抾搰憅屔,1,1,1,0,0,1,0,0,0,
34.87040679,136.5380782,S据喊_楅幁俴俠,1,0,0,0,0,0,0,0,0,
34.84033914,136.5316011,屼墥憅屔乮傒偦偺偦偆偙乯,1,0,0,0,0,0,0,0,1,
36.05864,139.63562,S据喊_媣婌PD,1,1,0,0,1,0,0,0,0,
33.60639464,131.2408453,拞捗媫峴戞10帠嬈強         ,0,1,0,0,0,1,0,0,0,
35.45562591,139.6978218,搶梞晆摢_愳嶈,1,1,1,0,0,0,0,1,0,
35.494453,139.763245,僙儞僐乕搶愵搰,1,1,1,1,0,0,0,1,0,
35.50386896,139.7636951,娵慡徍榓_愳嶈,1,1,1,1,0,0,0,1,0,
33.24771396,131.7385918,戝惉憅屔_戝暘,1,1,1,0,0,1,0,0,0,
34.47676135,133.7634924,F据喊_悈搰応奜,1,1,0,0,0,0,0,0,0,
